Cat�gorie;Article;D�signation 1;Unit� stock;Unit� vente;Coef UV-US;Saisie coeff vente;Unit� achat;Coef UA-US;Conditionnement;Coef UC-US;Saisie coeff autoris;Code comptable;Niveau taxe;Famille statistique;Famille statistique;Famille statistique;Gestion stock;Fournisseur;Article fournisseur;D�signation fourn
PDR;PDR00059;KIT REPARATION VALVE DE FREIN REMORQUE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;EKWA.57.7;KIT REPARATION
PDR;PDR00060;KIT REPARATION APPAREIL DE FREIN;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;EKKB.49.3;KIT REPARATION
PDR;PDR00061;TUBE FILTRE A AIR ARRIERE MAN TGS;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;81082016097;TUBE FILTRE A AIR ARRIERE MAN TGS
PDR;PDR00063;JEU DE PLAQUETTE DE FREIN;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;882200;JEU DE PLAQUETTE DE FREIN
PDR;PDR00065;COUSSINET DE BIELLE MAN TGS 400;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;71-4529STD;COUSSINET DE BIELLE MAN TGS 400
PDR;PDR00068;SOUPAPE ADMISSION MAN TGA 400 D120;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;FR6576;SOUPAPE ADMISSION MAN TGA 400 D120
PDR;PDR00069;SOUPAPE ECHAPPEMENT MAN TGA 400 D120;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;FR6577;SOUPAPE ECHAPPEMENT MAN TGA 400 D120
PDR;PDR00070;GUIDE AD/ECH MAN TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;81-25106;GUIDE AD/ECH MAN TGA
PDR;PDR00071;SEGMENT 1 CYL D 120;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;8,00035E+11;SEGMENT 1 CYL D 120
PDR;PDR00072;INTERCOOLER DACIA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;30379;INTERCOOLER DACIA
PDR;PDR00073;POCHETTE RODAGE TGA 400;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;195080A;POCHETTE RODAGE TGA 400
PDR;PDR00074;BLOC VIS;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1616657593;BLOC VIS
PDR;PDR00075;KIT SOUPAPE ASPIRATION ;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;291100510;KIT SOUPAPE ASPIRATION 
PDR;PDR00076;DOUILLE 1615834501;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1615834501;DOUILLE
PDR;PDR00077;VALVE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;16157673600;VALVE
PDR;PDR00078;ARREOIR;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00143;1615834600;ARRETOIR
PDR;PDR00079;AMORTISSEUR AR GOUCHE 2T;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00063;ZF_A-313078;AMORTISSEUR AR GOUCHE  2T
PDR;PDR00079;AMORTISSEUR AR GOUCHE 2T;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00385;313078;AMORTISSEUR AR GOUCHE 2T
PDR;PDR00080;AMORTISSEUR AR DROIT 1T;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00063;ZF_A-313183;AMORTISSEUR AR DROIT 1T
PDR;PDR00080;AMORTISSEUR AR DROIT 1T;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00385;313080;AMORTISSEUR AR DROIT 1T
